,oritext,norm,sentiment
0,"USER USER USER USER ""BELAH"" duren yaaaa.\nGak dungu,ya gak cebong.\xf0\x9f\x98\x80\xf0\x9f\x98\x86\nMaaf ya.'",user user user user belah durian yaaaa ngak bodoh iya tidak cebong xf0 x9f x98 x80 xf0 x9f x98 x86 nmaaf iya,negative
1,"2,Orang-orang (Yahudi dan Nasrani) yang telah Kami beri Al Kitab (Taurat dan Injil) mengenal Muhammad'",2 orang orang yahudi nasrani beri al kitab taurat injil mengenal muhammad,negative
2,Bubarkan HTI &amp; FPI. URL,bubarkan hti amp fpi url,neutral
3,Ahok memang verbalnya keras. Pelampiasan dan pelarian karena kelelakiannya lunak.,ahok verbalnya keras pelampiasan pelarian kelelakiannya lunak,negative
4,USER Sekedar share juga temen2 kantor aku kalo ada pelanggan yg bercadar langsung bilang awas ada bom.. Aku hanya menghela nafas.. \xf0\x9f\x98\xaf',user sekedar share teman teman kantor pelanggan bercadar bilang awas bom menghela nafas xf0 x9f x98 xaf,neutral
5,RT USER: Pantat mn nh pngen nusuk dan ditusuk\n\xf0\x9f\x91\x89Open BO WA 08157686707\n #gaybrondong #massageboy #gayjakarta #gayjogja #gaytangger\xe2\x80\xa6',user pantat mn nh pngen nusuk ditusuk xf0 x9f x91 x89open bo wa 08157686707 gaybrondong massageboy gayjakarta gayjogja gaytangger xe2 x80 xa6,negative
6,"USER yg diancam untuk dibunuh itu presiden republik Indonesia mas, trus mesti lapor dulu? apakah penegak hukum gak bisa bertindak jika ada ancaman pembunuhan kepada kepala negaranya?'",user diancam dibunuh presiden republik indonesia mas mesti lapor penegak hukum tidak bertindak ancaman pembunuhan kepala negaranya,negative
7,USER kayak orang nyosor mau minta nete ):',user kayak orang nyosor minta nete,negative
8,USER Ngewe bae',user ngewe bae,negative
9,USER Jebur bloon bukan cebur',user jebur bloon bukan cebur,negative
10,"PKS ultah di Balai Kota, RR ngomong nyapres di Balai Kota. Ganti aja namanya jd â??Balai Politikâ??. ð?¤ª",pks ulang tahun balai kota rr bicara nyapres balai kota ganti namanya balai politik,neutral
11,pak USER perlu melanjutkan rencana USER untuk menyeret USER ke pengadilan HAM PBB ! URL,pak user melanjutkan rencana user menyeret user pengadilan ham pbb url,neutral
12,"USER Kebijakan pengembalian barang kpd konsumen yg dilakukan apabila barang tersebut rusak, cacat produksi atau konsumen merasa kurang puas dgn produk tersebut terhitung selama 7 hari dari tanggal pembelian.\n#HauzMiniQuiz #HauzID\nYuk ikutan\nUSER",user kebijakan pengembalian barang konsumen barang rusak cacat produksi konsumen merasa kurang puas produk terhitung 7 hari tanggal pembelian hauzminiquiz hauzid nyuk ikutan nuser,negative
13,Kisah hidup Muhammad yang lebih lengkap dapat didownload di sini,kisah hidup muhammad lengkap didownload,positive
14,"Penjajahan di atas bumi indonesia harus di hapus kan. Penjajahan ekonomi, budaya, hasil bumi oleh cina harus kita basmi. Demi NKRI. Usir...",penjajahan bumi indonesia hapus kan penjajahan ekonomi budaya hasil bumi cina basmi nkri usir,negative
15,USER USER USER USER USER USER we ada pipis onta tercecer di mari pantes bau pesing',user user user user user user we pipis onta tercecer mari pantes bau pesing,negative
